0.632	116.000
1.853	97.000
3.074	109.000
4.294	75.000
5.515	64.000
6.736	64.000
7.957	44.000
9.177	42.000
10.398	46.000
11.619	40.000
12.840	42.000
14.061	40.000
15.281	21.000
16.502	31.000
17.723	21.000
18.944	18.000
20.164	19.000
21.385	11.000
22.606	9.000
23.827	9.000
25.047	9.000
26.268	10.000
27.489	11.000
28.710	3.000
29.930	6.000
31.151	5.000
32.372	2.000
33.593	3.000
34.814	2.000
36.034	4.000
37.255	2.000
38.476	3.000
39.697	1.000
40.917	3.000
42.138	0.000
43.359	5.000
44.580	1.000
45.800	1.000
47.021	1.000
48.242	2.000
49.463	1.000
50.683	1.000
51.904	2.000
53.125	0.000
54.346	0.000
55.567	0.000
56.787	1.000
58.008	2.000
59.229	0.000
60.450	1.000
